return_pct,max_drawdown_pct,trades,win_rate_pct,profit_factor,final_equity,buy_hold_return_pct,symbol,status,bars,period,strategy
39.11,-30.22,5,100.0,inf,13911.21,123.87,AAPL,OK,1255,5y,rsi
8.85,-31.77,5,60.0,1.408,10884.98,44.7,MSFT,OK,1255,5y,rsi
45.43,-55.02,5,60.0,2.291,14542.65,78.4,TSLA,OK,1255,5y,rsi
-13.77,-60.8,2,50.0,0.573,8623.44,932.0,NVDA,OK,1255,5y,rsi
77.06,-44.64,5,80.0,7.597,17705.67,31.95,AMZN,OK,1255,5y,rsi
-30.13,-74.85,5,80.0,0.502,6986.79,91.16,META,OK,1255,5y,rsi
5.78,-43.63,4,75.0,1.262,10578.15,183.79,GOOGL,OK,1255,5y,rsi
-16.75,-63.61,6,66.67,0.689,8325.31,36.55,NFLX,OK,1255,5y,rsi
6.21,-54.74,4,50.0,1.176,10621.19,514.35,AMD,OK,1255,5y,rsi
55.02,-37.72,5,60.0,3.863,15502.4,111.58,INTC,OK,1255,5y,rsi
