return_pct,max_drawdown_pct,trades,win_rate_pct,profit_factor,symbol,status,bars,period
-15.3,-29.22,15,33.33,0.535,AAPL,OK,1255,5y
-11.82,-26.14,15,33.33,0.502,MSFT,OK,1255,5y
-22.07,-43.78,13,30.77,0.513,TSLA,OK,1255,5y
-17.15,-31.02,12,25.0,0.39,NVDA,OK,1255,5y
1.11,-34.64,15,26.67,1.024,AMZN,OK,1255,5y
14.18,-35.94,25,28.0,1.213,META,OK,1255,5y
-37.32,-40.2,21,33.33,0.142,GOOGL,OK,1255,5y
61.77,-17.56,5,60.0,5.911,NFLX,OK,1255,5y
-9.86,-41.9,22,36.36,0.836,AMD,OK,1255,5y
-40.96,-52.46,22,18.18,0.532,INTC,OK,1255,5y
