return_pct,max_drawdown_pct,trades,win_rate_pct,profit_factor,final_equity,symbol,status,bars,period,strategy
58.53,-28.18,22,45.45,1.822,15853.16,AAPL,OK,1255,5y,sma
-9.52,-32.06,26,34.62,0.87,9047.55,MSFT,OK,1255,5y,sma
41.09,-39.92,23,43.48,1.432,14109.14,TSLA,OK,1255,5y,sma
265.45,-46.29,22,45.45,1.798,36545.08,NVDA,OK,1255,5y,sma
40.54,-29.12,21,38.1,1.45,14054.11,AMZN,OK,1255,5y,sma
103.35,-37.88,22,36.36,1.695,20335.18,META,OK,1255,5y,sma
53.65,-43.45,22,36.36,1.892,15364.53,GOOGL,OK,1255,5y,sma
44.91,-28.07,18,50.0,1.515,14490.67,NFLX,OK,1255,5y,sma
404.11,-53.49,22,45.45,3.415,50411.49,AMD,OK,1255,5y,sma
-36.31,-72.87,27,22.22,0.672,6369.02,INTC,OK,1255,5y,sma
