strategy,train_cagr,train_dd,train_trades,test_cagr,test_dd,test_trades,test_win_rate,test_total,score
"rsi:{'period': 14, 'os': 30, 'ob': 70},sl0.06,tp0.12,slots2",0.15381752605132126,-0.12685005826993268,17,-0.0585334131713765,-0.32484983723428906,11,0.2727272727272727,-0.11087840916565006,0.1221050114838381
"rsi:{'period': 14, 'os': 30, 'ob': 70},sl0.06,tp0.12,slots1",0.13892141516592948,-0.12685005826993268,16,-0.04577699491173981,-0.31690987762043976,10,0.3,-0.08725476812057831,0.10720890059844632
"rsi:{'period': 14, 'os': 25, 'ob': 75},sl0.06,tp0.12,slots2",0.07384063984436451,-0.04685894492549092,5,-0.014768835223559873,-0.10694688118205509,7,0.2857142857142857,-0.02857420419847445,0.06212590361299178
"rsi:{'period': 14, 'os': 25, 'ob': 75},sl0.06,tp0.12,slots1",0.07384063984436451,-0.04685894492549092,5,-0.014768835223559873,-0.10694688118205509,7,0.2857142857142857,-0.02857420419847445,0.06212590361299178
"rsi:{'period': 14, 'os': 25, 'ob': 75},sl0.05,tp0.1,slots2",0.060703318801865525,-0.04002424656717063,5,-0.01270367448461518,-0.12065939907087642,9,0.3333333333333333,-0.02460285791082173,0.05069725716007287
"rsi:{'period': 14, 'os': 25, 'ob': 75},sl0.05,tp0.1,slots1",0.060703318801865525,-0.04002424656717063,5,-0.030488859787092593,-0.12065939907087642,8,0.25,-0.0585455511982812,0.05069725716007287
"rsi:{'period': 14, 'os': 30, 'ob': 70},sl0.03,tp0.06,slots1",0.06254051073216238,-0.06707377258394853,22,0.035639847734868724,-0.17951831847257194,16,0.4375,0.07061401900831599,0.04577206758617525
"rsi:{'period': 14, 'os': 30, 'ob': 70},sl0.03,tp0.06,slots2",0.06254051073216238,-0.06707377258394853,22,0.035639847734868724,-0.17951831847257194,16,0.4375,0.07061401900831599,0.04577206758617525
"rsi:{'period': 14, 'os': 30, 'ob': 70},sl0.05,tp0.1,slots2",0.07708765424474873,-0.1458011441726772,18,-0.02343866213435042,-0.30042604800112005,14,0.2857142857142857,-0.045160390033965214,0.04063736820157943
"rsi:{'period': 14, 'os': 30, 'ob': 70},sl0.05,tp0.1,slots1",0.07708765424474873,-0.1458011441726772,18,-0.011114014617851886,-0.2818394983488438,12,0.3333333333333333,-0.021540537852372976,0.04063736820157943
"rsi:{'period': 14, 'os': 25, 'ob': 75},sl0.04,tp0.08,slots2",0.04161549138855114,-0.04868174723015384,5,-0.009436956600247681,-0.10024927709554288,9,0.2222222222222222,-0.018304789287931444,0.02944505458101268
"rsi:{'period': 14, 'os': 25, 'ob': 75},sl0.04,tp0.08,slots1",0.04161549138855114,-0.04868174723015384,5,-0.009436956600247681,-0.10024927709554288,9,0.2222222222222222,-0.018304789287931444,0.02944505458101268
"rsi:{'period': 14, 'os': 25, 'ob': 75},sl0.03,tp0.06,slots2",0.03757836301430206,-0.03941002425190576,5,-0.018801017496843042,-0.09396084250317549,10,0.2,-0.03630543899857619,0.027725856951325623
"rsi:{'period': 14, 'os': 25, 'ob': 75},sl0.03,tp0.06,slots1",0.03757836301430206,-0.03941002425190576,5,-0.018801017496843042,-0.09396084250317549,10,0.2,-0.03630543899857619,0.027725856951325623
"sma:{'fast': 5, 'slow': 20},sl0.05,tp0.1,slots1",0.06250548034980108,-0.15008231217303925,30,0.06402443071204189,-0.30112438741612924,29,0.3793103448275862,0.12852930020629016,0.024984902306541268
"sma:{'fast': 5, 'slow': 20},sl0.04,tp0.08,slots1",0.054661715732268856,-0.12885167975487866,29,0.11034799533933803,-0.3182133589694607,32,0.40625,0.22623331939038493,0.022448795793549192
"sma:{'fast': 5, 'slow': 20},sl0.06,tp0.12,slots1",0.060425524937859354,-0.16004141587964327,29,0.12161327034736646,-0.25552047455347016,26,0.38461538461538464,0.2505901535261936,0.020415170967948537
"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots2",0.05970850369695757,-0.16229394776262296,37,0.06067624188875875,-0.24769572102174076,37,0.40540540540540543,0.12162048523523694,0.01913501675630183
"sma:{'fast': 5, 'slow': 20},sl0.04,tp0.08,slots2",0.04854413994309681,-0.1309599539881584,30,0.10797385134765469,-0.31911886065435624,33,0.3939393939393939,0.22112989816797812,0.015804151446057207
"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1",0.0579255440697275,-0.1753761239351206,37,0.0860378119175651,-0.20834825599782725,33,0.3939393939393939,0.17446680955858507,0.01408151308594735
