symbol,entry_date,exit_date,pnl,reason,strategy
1177.HK,2024-08-08,2024-08-14,42.48307174035722,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1199.HK,2024-08-21,2024-08-27,48.17534997992766,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1177.HK,2024-09-17,2024-09-24,36.25942253780897,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1093.HK,2024-09-24,2024-09-25,52.91337664435537,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1199.HK,2024-09-26,2024-10-02,48.4315987679546,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1876.HK,2024-11-11,2024-11-12,-24.87770993103743,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1199.HK,2024-12-02,2024-12-05,-27.424748841794326,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1177.HK,2024-12-12,2024-12-16,-21.409167024050703,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
2007.HK,2025-01-22,2025-01-23,-113.48508042671688,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1876.HK,2025-02-04,2025-02-11,-21.738660023371153,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1199.HK,2025-02-12,2025-02-26,-10.206842444813901,SIGNAL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1199.HK,2025-03-11,2025-03-18,49.064690937496266,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1093.HK,2025-03-20,2025-03-21,-31.629392950973738,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1093.HK,2025-04-01,2025-04-02,89.81241550063305,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1093.HK,2025-04-15,2025-04-16,-43.631130877975465,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1177.HK,2025-04-22,2025-04-23,42.34908882573086,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1199.HK,2025-05-09,2025-05-14,45.48862673774397,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1876.HK,2025-05-30,2025-06-02,-29.947899622096998,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1876.HK,2025-07-10,2025-07-15,43.20554577707446,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1199.HK,2025-08-14,2025-08-28,-35.497110980311845,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
2007.HK,2025-09-09,2025-09-10,275.98825857479574,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
1199.HK,2025-09-12,2025-10-15,6.0670878116179665,SIGNAL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06,slots1"
