kind,a,b,c,d,base_cagr_train,base_dd_train,base_sharpe_train,strategy_cagr_train,strategy_dd_train,strategy_sharpe_train,switches_train,exposure_train,base_cagr_test,base_dd_test,base_sharpe_test,strategy_cagr_test,strategy_dd_test,strategy_sharpe_test,switches_test,exposure_test,cagr_delta_train,dd_delta_train,score
beta,5,30,60.0,0.5,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,0.004046269776851519,-0.33254203689207873,0.042732658112793975,1142,0.329378594423077,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.027279829389957322,-0.27973413490971416,0.3038330271460576,308,0.1490233622762726,0.15018170466156705,0.2880263526099597,0.3793276279255607
beta,5,30,20.0,0.5,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.0023738857743744735,-0.3473884670463261,0.0019449746435343251,1016,0.33110789458234857,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.028287262433714044,-0.27769068237866223,0.307061936970318,342,0.147700144645317,0.14376154911034106,0.2731799224557123,0.35923173582223733
beta,10,20,60.0,0.5,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,0.001684576570774865,-0.3557468967298441,0.03746073087882135,1111,0.32088459640581213,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.027658369252761883,-0.2679983489255868,0.3070717399454893,323,0.15568053774702736,0.1478200114554904,0.2648214927721943,0.35467832512305836
beta,10,20,20.0,0.5,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.0037636414103253135,-0.36853434146587993,0.0017912225909397506,999,0.32254781306190883,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.029085232989638332,-0.2658984755929387,0.3118728205596137,360,0.1544296365921568,0.14237179347439022,0.2520340480361585,0.3373832959820784
beta,3,30,60.0,0.5,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.015225471458072737,-0.3927789639918077,-0.07611767796953317,1129,0.3255036540237912,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.07168849178331149,-0.2435181422983399,0.452292561691687,319,0.16254765959859052,0.1309099634266428,0.22778942551023074,0.30351231340425333
beta,5,30,20.0,0.25,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.06201025869492277,-0.3667811549561285,-0.29331973148434076,24,0.17102714666620278,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.09031474689313701,-0.24098054506682204,0.520893296658538,14,0.07613699667836354,0.08412517618979276,0.2537872345459099,0.29525762614576706
beta,5,30,60.0,0.25,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.06375194786890759,-0.3678252942531763,-0.3006935223214762,22,0.17069568781463762,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.09031474689313701,-0.24098054506682204,0.520893296658538,14,0.07613699667836354,0.08238348701580794,0.2527430952488621,0.29297395271987003
beta,3,30,20.0,0.5,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.020903870692460358,-0.40378497371453453,-0.11360060258217539,1012,0.3280559905410785,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.07184992824100933,-0.24290778425092746,0.45273753132833905,357,0.16130253721684523,0.12523156419225517,0.21678341578750387,0.28779295783370046
beta,10,20,20.0,0.25,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.06333301992223356,-0.3755537160281926,-0.2884828349220522,18,0.16666375670774536,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.09065290578635576,-0.2409805450668221,0.5250125213599149,12,0.07952501379676583,0.08280241496248197,0.2450146734738458,0.286065529288162
beta,10,20,60.0,0.25,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.06505771376961633,-0.37658757981640223,-0.2950488730241913,16,0.1663322978561802,0.1508885183775317,-0.2818809084031356,0.6433661860780011,0.09065290578635576,-0.2409805450668221,0.5250125213599149,12,0.07952501379676583,0.0810777211150992,0.24398080968563618,0.283841016671154
dual,20,20,0.05,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.02718668215086356,-0.5118221586448697,0.2411192464977946,53,0.5950269308966623,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.20442213424121608,-0.47138046624715635,-0.4859022690831881,39,0.49654820537917677,0.11894875273385197,0.10874623085716872,0.19435035962816224
dual,20,20,0.02,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.027868319829764454,-0.5388032821953552,0.27189841786289876,55,0.7673221472469353,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.13637738171798924,-0.4480810074493152,-0.21368827377514216,46,0.6471672376271645,0.11826711505495108,0.08176510730668318,0.16856737580648146
dual,20,10,0.05,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,0.05510161793037044,-0.5822869122882305,0.26073852830530225,84,0.5880747998128962,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.14077491089038796,-0.418559775194681,-0.3325708630132204,64,0.5123376927642471,0.20123705281508597,0.038281477213807924,0.16601072011579382
dual,20,20,0.0,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.07929435335805884,-0.5512051631400015,0.1753652535380774,56,0.8851367154031762,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.13748961044538616,-0.5078553265220447,-0.29132741803616524,37,0.9064423086935244,0.06684108152665669,0.06936322636203696,0.12562581988144697
dual,20,5,0.05,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.030639462672600537,-0.6236273549168261,0.20304966759417564,125,0.5781985939432113,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.2630026673362744,-0.5861496748606838,-0.7495742684581964,95,0.5374686318814623,0.115495972212115,-0.0030589654147876733,0.07891529415015641
dual,20,10,0.0,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.06458693997638754,-0.6031248539143508,0.13140991051174086,69,0.8898895671142026,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.07050109306185948,-0.3756801859440741,0.07397032999892723,54,0.9055298999344004,0.081548494908328,0.01744353558768763,0.07886206864661648
dual,20,10,0.02,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.061420039856981135,-0.6241592424352859,0.07984301026791041,91,0.7738875664009855,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.030861949839149805,-0.415227915794192,-0.017530803473330192,70,0.7144316773743453,0.0847153950277344,-0.003590852933247457,0.05683278517319307
dual,20,5,0.0,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.054693115671151094,-0.6908807178506895,0.15138458092058682,100,0.9094972513349666,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.20332686410230882,-0.5638843851602934,-0.3345138423333599,80,0.9331481616460322,0.09144231921356444,-0.07031232834865109,-0.0029481496166617258
dual,20,5,0.02,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.031107935330568492,-0.7038625617646803,0.1581780944805935,134,0.7796071979363013,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.20835185243987125,-0.5601697128932055,-0.44109335912995074,102,0.7522530378916459,0.11502749955414704,-0.08329417226264191,-0.0037977276823609116
dual,120,20,0.0,0.0,-0.14613543488471553,-0.6205683895020384,-0.281475801583556,-0.1454608590840647,-0.6795450643132362,0.026068777756764822,24,0.7116489442995882,0.1508885183775317,-0.2818809084031356,0.6433661860780011,-0.23108557157178855,-0.6021628824483828,-0.41655881545518175,15,0.9452554744525548,0.000674575800650834,-0.05897667481119784,-0.04326215794385638
