symbol,entry_date,exit_date,pnl,reason,strategy
0966.HK,2024-07-12,2024-07-16,-25.307519382603346,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0101.HK,2024-07-16,2024-07-22,-19.626711162875495,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1918.HK,2024-07-19,2024-07-22,-16.157694685149238,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0762.HK,2024-07-25,2024-07-26,-35.2987325139095,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0968.HK,2024-07-29,2024-07-30,-33.00848385754739,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0968.HK,2024-08-01,2024-08-02,-36.80120467895563,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0241.HK,2024-08-02,2024-08-05,-16.158995097189063,SIGNAL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0966.HK,2024-08-05,2024-08-06,-23.951758792075452,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0241.HK,2024-08-07,2024-08-08,-21.69079554451639,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1177.HK,2024-08-08,2024-08-14,42.48307174035722,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1398.HK,2024-08-14,2024-08-27,45.98543438028037,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1177.HK,2024-09-17,2024-09-24,36.25942524049378,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1918.HK,2024-09-24,2024-09-25,43.801519835279066,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1093.HK,2024-09-24,2024-09-25,26.45668569215394,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0960.HK,2024-09-25,2024-09-26,-38.537560648213685,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1898.HK,2024-09-26,2024-09-30,53.55115626034376,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0968.HK,2024-10-29,2024-10-30,-109.05802370408423,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1398.HK,2024-10-30,2024-10-31,-6.427081063860214,SIGNAL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1918.HK,2024-11-04,2024-11-05,16.309760102709504,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0939.HK,2024-11-04,2024-11-12,-18.001088487450033,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0728.HK,2024-11-22,2024-12-11,47.653559647642396,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1177.HK,2024-12-12,2024-12-16,-21.40916548004668,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0267.HK,2024-12-30,2025-01-02,-27.412541643035638,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0968.HK,2025-01-10,2025-01-13,-20.701224045683148,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
2007.HK,2025-01-22,2025-01-23,-17.022762064007537,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0101.HK,2025-01-21,2025-01-24,-18.135927797539807,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0267.HK,2025-01-24,2025-02-03,-26.154262805896224,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1876.HK,2025-02-04,2025-02-11,-21.738660023371153,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0386.HK,2025-02-11,2025-02-18,-13.09841688263515,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
2007.HK,2025-03-03,2025-03-04,-6.530397858495718,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1199.HK,2025-03-11,2025-03-18,24.532345468748133,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0939.HK,2025-03-18,2025-03-28,-20.938856572760074,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1093.HK,2025-04-01,2025-04-02,44.906207750316526,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0939.HK,2025-04-03,2025-04-07,-20.576279034923573,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0101.HK,2025-04-07,2025-04-08,-47.85647944125674,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1093.HK,2025-04-15,2025-04-16,-21.815565438987733,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0003.HK,2025-04-17,2025-05-07,35.84596531411364,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0968.HK,2025-05-07,2025-05-08,-17.272584050360024,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
1199.HK,2025-05-09,2025-05-14,22.744313368871985,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0728.HK,2025-05-16,2025-05-29,30.102584177033123,TP,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
0003.HK,2025-06-09,2025-06-19,-21.263017917458797,SL,"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06"
