fast,slow,enter,exit,sl,tp,segment_train,mean_cagr_train,worst_cagr_train,mean_dd_train,trades_train,score,segment_test,mean_cagr_test,worst_cagr_test,mean_dd_test,trades_test
5,20,0.6,0.3,0.08,0.15,train,-0.12523081100411632,-0.30611622949637585,-0.6507333509368278,64.5,-0.19244566276467598,test,-0.3147486260591655,-0.4327622643760076,-0.6069577184376945,28.5
5,20,0.6,0.4,0.08,0.15,train,-0.13594160118441384,-0.30611622949637585,-0.6556285869451963,66.0,-0.20734544510606756,test,-0.3155211572748357,-0.4327622643760076,-0.6106699215424425,29.5
5,20,0.5,0.3,0.08,0.15,train,-0.17529878678253852,-0.32843161035730317,-0.6976212225219187,72.5,-0.2512807539725195,test,-0.411324888721206,-0.5372671280573431,-0.7069256585118495,37.5
5,20,0.5,0.4,0.08,0.15,train,-0.18811878104056784,-0.32843161035730317,-0.6976212225219187,77.0,-0.2696574802591492,test,-0.40644019121650965,-0.5372671280573431,-0.7105072786445144,38.5
5,20,0.6,0.5,0.08,0.15,train,-0.18587040685482148,-0.34559366826868765,-0.6636014797190376,67.0,-0.280093418317146,test,-0.3161655085475106,-0.3855652511535257,-0.6049945910600828,31.0
5,20,0.7,0.3,0.08,0.15,train,-0.22421793999045397,-0.30611622949637585,-0.7250280077160516,63.5,-0.3092541772238214,test,-0.3143796011797223,-0.4327622643760076,-0.5775059803378175,24.5
5,20,0.7,0.4,0.08,0.15,train,-0.24777689120800023,-0.30611622949637585,-0.7526552294479043,63.5,-0.32920370644305785,test,-0.2992186888402749,-0.4327622643760076,-0.561298087447246,24.5
20,50,0.5,0.3,0.08,0.15,train,-0.2655561406025131,-0.36710394239675437,-0.7299165145822584,72.0,-0.36381714250498176,test,-0.5128038228547411,-0.594184328820176,-0.7832599649873379,34.0
20,50,0.5,0.4,0.08,0.15,train,-0.2724190913656067,-0.36710394239675437,-0.7300960350645085,72.5,-0.3731277507095855,test,-0.4875678032900548,-0.594184328820176,-0.7565464556036218,34.5
5,20,0.6,0.4,0.05,0.1,train,-0.28754114670020847,-0.391990372973263,-0.7673981561230843,120.5,-0.3746961657464411,test,-0.39871902687281735,-0.474813068035153,-0.6936693125745168,55.5
