strategy,market,params,train_cagr,train_dd,test_cagr,test_dd,test_sharpe,test_trades,win_rate,score
gap,2800.HK,"gap0.005,bars3,vf0.8",-0.2058145698744197,-0.026392531136918196,0.2734130403040085,0.0,4.990478978597129,3,1.0,-0.21241270265864926
gap,2800.HK,"gap0.005,bars3,vf1.0",-0.2058145698744197,-0.026392531136918196,0.2734130403040085,0.0,4.990478978597129,3,1.0,-0.21241270265864926
gap,2800.HK,"gap0.005,bars6,vf0.8",-0.22085841638488768,-0.02852099979301681,0.2170499176724039,0.0,5.194985339391389,3,1.0,-0.22798866633314188
gap,2800.HK,"gap0.005,bars6,vf1.0",-0.22085841638488768,-0.02852099979301681,0.2170499176724039,0.0,5.194985339391389,3,1.0,-0.22798866633314188
gap,2800.HK,"gap0.005,bars12,vf0.8",-0.16459958459071256,-0.02048364873417563,-0.00375006965755742,-0.00524291313832248,-0.17169183055258197,3,0.6666666666666666,-0.16972049677425646
gap,2800.HK,"gap0.005,bars12,vf1.0",-0.16459958459071256,-0.02048364873417563,-0.00375006965755742,-0.00524291313832248,-0.17169183055258197,3,0.6666666666666666,-0.16972049677425646
gap,2800.HK,"gap0.01,bars3,vf0.8",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.01,bars3,vf1.0",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.01,bars6,vf0.8",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.01,bars6,vf1.0",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.01,bars12,vf0.8",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.01,bars12,vf1.0",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.015,bars3,vf0.8",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.015,bars3,vf1.0",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.015,bars6,vf0.8",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.015,bars6,vf1.0",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.015,bars12,vf0.8",0.0,0.0,0.0,0.0,0.0,0,,-inf
gap,2800.HK,"gap0.015,bars12,vf1.0",0.0,0.0,0.0,0.0,0.0,0,,-inf
crash,2800.HK,"lb2,drop0.03,ma50,h1,sl0.03,tp0.06",-0.08880931643901246,-0.45688549853715243,-0.15600507151295095,-0.3780437817479395,-1.5929675447071754,17,0.17647058823529413,-0.20303069107330057
crash,2800.HK,"lb2,drop0.03,ma50,h1,sl0.03,tp0.1",-0.11197202539904227,-0.5164115444245156,-0.15600507151295095,-0.3780437817479395,-1.5929675447071754,17,0.17647058823529413,-0.24107491150517119
